,거래,종류,확인일자,현장확인,매물명,공급면적,전용면적,층,매물가,연락처
0,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.38,84.96,13/16,87000,우수 활동new삼성공인중개사사무소 02-823-4040
1,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,17/17,100000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
2,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.14,84.95,10/17,87000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
3,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,15/17,115000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
4,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,17/17,100000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
5,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.14,84.95,10/17,87000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
6,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,15/17,115000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
7,매매,아파트,2017-12-26,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.14,84.95,3/13,87500,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
8,매매,아파트,2017-12-26,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.29,84.99,20/20,87000,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
9,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.29,84.99,2/16,84000,우수 활동명문(단지내)센트레빌공인중개사사무소 02-823-0707
10,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,15/17,115000,우수 활동명문(단지내)센트레빌공인중개사사무소 02-823-0707
11,매매,아파트,2017-12-27,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,8/17,47500,우수 활동한강(단지내)공인중개사사무소 02-825-3114
12,매매,아파트,2017-12-27,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.99,5/15,59500,우수 활동한강(단지내)공인중개사사무소 02-825-3114
13,매매,아파트,2017-12-26,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.38,84.96,13/16,87000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
14,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,12/17,100000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
15,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.14,84.95,13/16,87000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
16,매매,아파트,2017-12-27,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,15/16,57000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
17,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,12/17,100000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
18,매매,아파트,2017-12-27,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,11/17,47500,우수 활동파크(단지내)공인중개사사무소 02-823-1003
19,매매,아파트,2017-12-27,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,15/16,57000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
20,매매,아파트,2017-12-27,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,11/17,47500,우수 활동드림(단지내)공인중개사사무소 02-823-8500
21,매매,아파트,2017-12-26,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,2/15,55000,우수 활동굿모닝공인중개사 사무소 02-826-2800
22,매매,아파트,2017-12-23,,집주인 우리유앤미 네이버부동산에서 보기,81.74,59.66,10/17,47500,우수 활동드림(단지내)공인중개사사무소 02-823-8500
23,매매,아파트,2017-12-23,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,16/17,115000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
24,매매,아파트,2017-12-27,,흑석동양 네이버부동산에서 보기,109.28,84.98,12/15,57000,우수 활동new삼성공인중개사사무소 02-823-4040
25,매매,아파트,2017-12-21,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,11/17,47500,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
26,매매,아파트,2017-12-21,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.29,84.99,4/19,89000,우수 활동한강(단지내)공인중개사사무소 02-825-3114
27,매매,아파트,2017-12-21,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.3,119.73,14/15,100000,우수 활동명문(단지내)센트레빌공인중개사사무소 02-823-0707
28,매매,아파트,2017-12-21,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,14/15,100000,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
29,매매,아파트,2017-12-21,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,16/17,115000,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
30,매매,아파트,2017-12-18,,집주인 청호 네이버부동산에서 보기,80.99,59.85,2/12,43000,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
31,매매,아파트,2017-12-18,,집주인 청호 네이버부동산에서 보기,80.99,59.85,2/12,42500,우수 활동한강(단지내)공인중개사사무소 02-825-3114
32,매매,아파트,2017-12-16,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.99,5/15,57000,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
33,매매,아파트,2017-12-16,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,8/17,47500,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
34,매매,아파트,2017-12-27,,명수대현대 네이버부동산에서 보기,145.45,112.29,2/15,103000,우수 활동굿모닝공인중개사 사무소 02-826-2800
35,매매,아파트,2017-12-26,,흑석한강센트레빌2차 네이버부동산에서 보기,111.19,84.98,7/17,90000,우수 활동new삼성공인중개사사무소 02-823-4040
36,매매,아파트,2017-12-20,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.29,84.99,저/20,87000,우수 활동NEW삼성공인중개사사무소 02-823-4040
37,매매,아파트,2017-12-28,,흑석한강센트레빌1차 네이버부동산에서 보기,106.97,84.91,12/20,103000,센트레빌(단지내)공인중개사사무소 02-817-8989
38,매매,아파트,2017-12-28,,흑석한강푸르지오 네이버부동산에서 보기,148.07,115.95,11/13,108000,푸르지오(단지내)공인중개사사무소 02-813-3500
39,매매,아파트,2017-12-27,,흑석한강센트레빌2차 네이버부동산에서 보기,111.19,84.98,고/17,90000,우수 활동new삼성공인중개사사무소 02-823-4040
40,매매,아파트,2017-12-27,,우리유앤미 네이버부동산에서 보기,103.09,83.58,중/17,59500,우수 활동new삼성공인중개사사무소 02-823-4040
41,매매,아파트,2017-12-15,,집주인 흑석동양 네이버부동산에서 보기,109.29,84.99,14/16,60000,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
42,매매,아파트,2017-12-15,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,11/16,60000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
43,매매,아파트,2017-12-28,,흑석한강센트레빌1차 네이버부동산에서 보기,106.97,84.91,4/20,97000,삼성부동산공인중개사사무소 02-816-8855
44,매매,아파트,2017-12-27,,흑석동양 네이버부동산에서 보기,109.28,84.98,2/15,54500,우수 활동한강(단지내)공인중개사사무소 02-825-3114
45,매매,아파트,2017-12-26,,명수대현대 네이버부동산에서 보기,145.45,112.29,2/15,103000,우수 활동한강공인중개사사무소 02-817-4411
46,매매,아파트,2017-12-22,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.3,119.73,고/17,100000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
47,매매,아파트,2017-12-27,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,12/19,98000,아크로리버하임부동산중개 02-815-8080
48,매매,아파트,2017-12-27,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,8/19,89000,푸르지오(단지내)공인중개사사무소 02-813-3500
49,매매,아파트,2017-12-27,,흑석한강센트레빌1차 네이버부동산에서 보기,110.32,84.89,9/16,99000,센트레빌(단지내)공인중개사사무소 02-817-8989
50,매매,아파트,2017-12-18,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,11/16,60000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
51,매매,아파트,2017-12-12,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,16/16,59500,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
52,매매,아파트,2017-12-27,,흑석한강센트레빌1차 네이버부동산에서 보기,143.0,114.83,6/19,116000,삼성부동산공인중개사사무소 02-816-8855
53,매매,아파트,2017-12-27,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,7/19,87000,부동산114(단지내)공인중개사사무소 02-823-3800
54,매매,아파트,2017-12-27,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,13/19,98000,믿음공인중개사사무소 02-813-3388
55,매매,아파트,2017-12-27,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,11/19,90000,흑석114공인중개사사무소 02-814-4111
56,매매,아파트,2017-12-27,,흑석한강푸르지오 네이버부동산에서 보기,109.06,84.79,7/15,89000,흑석한강(단지내)공인중개사사무소02-822-5353
57,매매,아파트,2017-12-27,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,12/19,99000,흑석한강(단지내)공인중개사사무소02-822-5353
58,매매,아파트,2017-12-27,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,12/19,98500,신세계부동산 02-822-5757
59,매매,아파트,2017-12-26,,흑석한강센트레빌2차 네이버부동산에서 보기,111.19,84.98,15/17,90000,우수 활동한강(단지내)공인중개사사무소 02-825-3114
60,매매,아파트,2017-12-26,,청호 네이버부동산에서 보기,80.99,59.85,3/14,43000,우수 활동lba사랑방공인중개사사무소 02-814-3344
61,매매,아파트,2017-12-26,,명수대현대 네이버부동산에서 보기,145.45,112.29,2/15,103000,뉴공인중개사사무소 02-817-9500
62,매매,아파트,2017-12-26,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,8/12,99000,센트레빌(단지내)공인중개사사무소 02-817-8989
63,매매,아파트,2017-12-22,,흑석한강센트레빌2차 네이버부동산에서 보기,111.19,84.98,15/17,90000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
64,매매,아파트,2017-12-15,,집주인 흑석동양 네이버부동산에서 보기,79.35,59.51,4/15,52000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
65,매매,아파트,2017-12-26,,흑석한강푸르지오 네이버부동산에서 보기,77.87,59.84,3/13,75000,믿음공인중개사사무소 02-813-3388
66,매매,아파트,2017-12-27,,명수대현대 네이버부동산에서 보기,145.45,112.29,6/15,103000,행운공인중개사사무소 02-817-5006
67,매매,아파트,2017-12-26,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,12/19,98000,부동산114(단지내)공인중개사사무소 02-823-3800
68,매매,아파트,2017-12-26,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,3/14,89000,태양공인중개사사무소 02-813-3894
69,매매,아파트,2017-12-26,,흑석한강센트레빌1차 네이버부동산에서 보기,143.23,114.95,9/19,112000,예가인공인중개사사무소 02-813-3388
70,매매,아파트,2017-12-26,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,13/19,98000,삼성부동산공인중개사사무소 02-816-8855
71,매매,아파트,2017-12-26,,흑석한강푸르지오 네이버부동산에서 보기,108.76,84.98,12/17,88000,태양공인중개사사무소 02-813-3894
72,매매,아파트,2017-12-26,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,9/13,87000,믿음공인중개사사무소 02-813-3388
73,매매,아파트,2017-12-26,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,12/19,99000,예가인공인중개사사무소 02-813-3388
74,매매,아파트,2017-12-26,,흑석한강센트레빌1차 네이버부동산에서 보기,143.0,114.83,11/16,116000,신세계부동산 02-822-5757
75,매매,아파트,2017-12-12,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,3/16,59500,우수 활동명문(단지내)센트레빌공인중개사사무소 02-823-0707
76,매매,아파트,2017-12-20,,흑석동양 네이버부동산에서 보기,109.28,84.98,3/15,54500,우수 활동드림(단지내)공인중개사사무소 02-823-8500
77,매매,아파트,2017-12-20,,우리유앤미 네이버부동산에서 보기,103.09,83.58,11/17,58000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
78,매매,아파트,2017-12-23,,흑석동양 네이버부동산에서 보기,109.28,84.99,7/16,60000,우수 활동명문(단지내)센트레빌공인중개사사무소 02-823-0707
79,매매,아파트,2017-12-23,,흑석한강센트레빌2차 네이버부동산에서 보기,111.19,84.98,3/17,90000,우수 활동한강(단지내)공인중개사사무소 02-825-3114
80,매매,아파트,2017-12-28,,명수대현대 네이버부동산에서 보기,145.45,112.29,6/15,103000,우수 활동현대공인 02-824-3335
81,매매,아파트,2017-12-23,,흑석동양 네이버부동산에서 보기,109.29,84.99,7/16,60000,우수 활동한강(단지내)공인중개사사무소 02-825-3114
82,매매,아파트,2017-12-22,,우리유앤미 네이버부동산에서 보기,103.09,83.58,7/17,58000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
83,매매,아파트,2017-12-27,,우리유앤미 네이버부동산에서 보기,103.09,83.58,7/17,58000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
84,매매,아파트,2017-12-27,,흑석한강센트레빌2차 네이버부동산에서 보기,111.14,84.95,중/17,87000,우수 활동new삼성공인중개사사무소 02-823-4040
85,매매,아파트,2017-12-27,,흑석동양 네이버부동산에서 보기,109.28,84.99,저/16,60000,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
86,매매,아파트,2017-12-27,,흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,고/17,115000,우수 활동new삼성공인중개사사무소 02-823-4040
87,매매,아파트,2017-12-23,,흑석한강센트레빌1차 네이버부동산에서 보기,143.0,114.83,6/19,115000,아크로리버하임부동산중개 02-815-8080
88,매매,아파트,2017-12-23,,흑석한강푸르지오 네이버부동산에서 보기,77.87,59.84,2/13,77000,푸르지오(단지내)공인중개사사무소 02-813-3500
89,매매,아파트,2017-12-23,,흑석한강센트레빌1차 네이버부동산에서 보기,143.0,114.83,6/16,115000,센트레빌(단지내)공인중개사사무소 02-817-8989
90,매매,아파트,2017-12-23,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,6/17,89000,흑석한강(단지내)공인중개사사무소02-822-5353
91,매매,아파트,2017-12-23,,흑석한강센트레빌1차 네이버부동산에서 보기,106.97,84.91,12/19,98000,흑석한강(단지내)공인중개사사무소02-822-5353
92,매매,아파트,2017-12-23,,흑석한강푸르지오 네이버부동산에서 보기,148.07,115.95,11/13,108000,부동산114(단지내)공인중개사사무소 02-823-3800
93,매매,아파트,2017-12-22,,청호 네이버부동산에서 보기,80.99,59.85,4/12,43000,우수 활동한강(단지내)공인중개사사무소 02-825-3114
94,매매,아파트,2017-12-21,,한강현대 네이버부동산에서 보기,87.85,66.22,2/15,81000,우수 활동한강공인중개사사무소 02-817-4411
95,매매,아파트,2017-12-21,,명수대현대 네이버부동산에서 보기,145.45,112.29,2/15,103000,우수 활동굿모닝공인중개사 사무소 02-826-2800
96,매매,주상복합,2017-12-21,,이랜드해가든 네이버부동산에서 보기,108.32,84.9,5/20,70000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
97,매매,아파트,2017-12-21,,명수대현대 네이버부동산에서 보기,145.45,112.29,2/15,103000,우수 활동한강공인중개사사무소 02-817-4411
98,매매,아파트,2017-12-21,,청호 네이버부동산에서 보기,80.99,59.85,12/12,43000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
99,매매,아파트,2017-12-22,,흑석한강푸르지오 네이버부동산에서 보기,148.07,115.95,11/13,108000,푸르지오(단지내)공인중개사사무소 02-813-3500
100,매매,아파트,2017-12-22,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,3/20,98000,센트레빌(단지내)공인중개사사무소 02-817-8989
101,매매,아파트,2017-12-18,,우리유앤미 네이버부동산에서 보기,103.09,83.58,11/17,58000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
102,매매,아파트,2017-12-18,,우리유앤미 네이버부동산에서 보기,135.0,113.96,7/17,65000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
103,매매,아파트,2017-12-18,,흑석동양 네이버부동산에서 보기,109.28,84.98,2/15,55000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
104,매매,아파트,2017-12-22,,흑석한강센트레빌1차 네이버부동산에서 보기,143.23,114.95,7/16,115000,부동산114(단지내)공인중개사사무소 02-823-3800
105,매매,아파트,2017-12-22,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,15/17,89000,태양공인중개사사무소 02-813-3894
106,매매,아파트,2017-12-22,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,10/19,89000,흑석한강(단지내)공인중개사사무소02-822-5353
107,매매,아파트,2017-12-22,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,5/17,89000,흑석114공인중개사사무소 02-814-4111
108,매매,아파트,2017-12-21,,명수대현대 네이버부동산에서 보기,145.45,112.29,2/15,103000,우수 활동현대공인 02-824-3335
109,매매,아파트,2017-12-27,,우리유앤미 네이버부동산에서 보기,103.09,83.58,고/17,60000,우수 활동사랑방공인 02-817-2329
110,매매,아파트,2017-12-21,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,6/19,88000,푸르지오(단지내)공인중개사사무소 02-813-3500
111,매매,아파트,2017-12-21,,흑석한강센트레빌1차 네이버부동산에서 보기,143.0,114.83,1/19,102000,센트레빌(단지내)공인중개사사무소 02-817-8989
112,매매,아파트,2017-12-21,,흑석한강센트레빌1차 네이버부동산에서 보기,143.0,114.83,8/19,115000,신세계부동산 02-822-5757
113,매매,아파트,2017-12-21,,한강현대 네이버부동산에서 보기,87.85,66.22,2/15,81000,탑공인중개사사무소02-838-9998
114,매매,아파트,2017-12-21,,한강현대 네이버부동산에서 보기,151.44,131.4,2/15,107000,탑공인중개사사무소02-838-9998
115,매매,아파트,2017-12-21,,흑석한강센트레빌1차 네이버부동산에서 보기,106.97,84.91,3/19,93000,한강타운(단지내)공인중개사 02-823-3808
116,매매,아파트,2017-12-21,,한강현대 네이버부동산에서 보기,150.8,131.06,1/15,110000,탑공인중개사사무소02-838-9998
117,매매,아파트,2017-12-21,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,3/17,85000,부동산114(단지내)공인중개사사무소 02-823-3800
118,매매,주상복합,2017-12-20,,이랜드해가든 네이버부동산에서 보기,108.24,84.83,4/20,70000,우수 활동명문(단지내)센트레빌공인중개사사무소 02-823-0707
119,매매,아파트,2017-12-20,,흑석한강푸르지오 네이버부동산에서 보기,148.07,115.95,10/13,108000,푸르지오(단지내)공인중개사사무소 02-813-3500
120,매매,아파트,2017-12-20,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,3/12,95000,센트레빌(단지내)공인중개사사무소 02-817-8989
121,매매,아파트,2017-12-15,,집주인 흑석동양 네이버부동산에서 보기,79.35,59.51,4/15,52000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
122,매매,아파트,2017-12-22,,흑석한강센트레빌2차 네이버부동산에서 보기,111.19,84.98,고/17,90000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
123,매매,아파트,2017-12-20,,흑석한강푸르지오 네이버부동산에서 보기,77.87,59.84,3/13,75000,한강타운(단지내)공인중개사 02-823-3808
124,매매,아파트,2017-12-20,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,2/19,93000,삼성부동산공인중개사사무소 02-816-8855
125,매매,아파트,2017-12-20,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,8/16,97000,흑석한강(단지내)공인중개사사무소02-822-5353
126,매매,아파트,2017-12-20,,명수대현대 네이버부동산에서 보기,145.45,112.29,2/15,103000,영동공인중개사사무소 02-816-6190
127,매매,아파트,2017-12-18,,흑석동양 네이버부동산에서 보기,109.28,84.98,3/15,55000,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
128,매매,아파트,2017-12-18,,흑석한강센트레빌2차 네이버부동산에서 보기,111.19,84.98,16/17,90000,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
129,매매,아파트,2017-12-18,,한강현대 네이버부동산에서 보기,87.85,66.22,2/15,81000,우수 활동한강공인중개사사무소 02-817-4411
130,매매,아파트,2017-12-18,,청호 네이버부동산에서 보기,80.99,59.85,12/12,43000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
131,매매,아파트,2017-12-18,,흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,11/17,115000,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
132,매매,아파트,2017-12-18,,흑석동양 네이버부동산에서 보기,109.29,84.99,11/16,60000,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
133,매매,아파트,2017-12-18,,흑석한강센트레빌2차 네이버부동산에서 보기,151.3,119.73,8/15,100000,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
134,매매,아파트,2017-12-23,,우리유앤미 네이버부동산에서 보기,82.02,59.94,중/17,47500,우수 활동new삼성공인중개사사무소 02-823-4040
135,매매,아파트,2017-12-19,,흑석한강푸르지오 네이버부동산에서 보기,108.88,84.98,5/17,85000,푸르지오(단지내)공인중개사사무소 02-813-3500
136,매매,아파트,2017-12-19,,흑석한강센트레빌1차 네이버부동산에서 보기,107.79,84.84,6/19,98000,센트레빌(단지내)공인중개사사무소 02-817-8989
137,매매,아파트,2017-12-19,,명수대현대 네이버부동산에서 보기,145.45,112.29,2/15,103000,뉴공인중개사사무소 02-817-9500
138,매매,아파트,2017-12-19,,한강현대 네이버부동산에서 보기,87.85,66.22,2/15,81000,뉴공인중개사사무소 02-817-9500
